"area label","area long label","area","Library visits per 1,000 population","Library visits per 1,000 population","Library visits per 1,000 population","Library visits per 1,000 population","Library visits per 1,000 population","Library visits per 1,000 population"
"area label","area long label","area","284","284","284","284","284","284"
"area label","area long label","area","Visits per 1000 people","Visits per 1000 people","Visits per 1000 people","Visits per 1000 people","Visits per 1000 people","Visits per 1000 people"
"area label","area long label","area","raw","raw","raw","raw","raw","raw"
"area label","area long label","area","2017/18","2018/19","2019/20","2020/21","2021/22","2022/23"
"area label","area long label","area","fin_2017_18","fin_2018_19","fin_2019_20","fin_2020_21","fin_2021_22","fin_2022_23"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","5,319","5,198","4,769","Missing","Missing","Missing"
"Barnet","Barnet (London borough)","E09000003","1,754","2,218","2,278","72","Missing","Missing"
"Bexley","Bexley (London borough)","E09000004","3,488","3,714","3,751","567","1,268","Missing"
"Brent","Brent (London borough)","E09000005","7,740","7,574","6,861","219","1,420","2,565"
"Bromley","Bromley (London borough)","E09000006","4,768","4,017","3,525","490","Missing","3,284"
"Camden","Camden (London borough)","E09000007","5,037","4,468","4,394","172","1,642","2,866"
"Croydon","Croydon (London borough)","E09000008","4,838","4,504","3,794","28","616","1,471"
"Ealing","Ealing (London borough)","E09000009","4,768","3,162","3,196","Missing","546","1,783"
"Enfield","Enfield (London borough)","E09000010","3,720","4,144","4,114","Missing","Missing","Missing"
"Greenwich","Greenwich (London borough)","E09000011","9,535","8,881","8,209","669","4,038","5,986"
"Hackney","Hackney (London borough)","E09000012","6,070","5,850","5,282","Missing","Missing","Missing"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","5,403","5,460","Missing","469","Missing","3,415"
"Haringey","Haringey (London borough)","E09000014","5,468","5,183","4,813","534","1,880","Missing"
"Harrow","Harrow (London borough)","E09000015","3,013","2,824","2,398","199","993","1,647"
"Havering","Havering (London borough)","E09000016","4,400","4,352","5,013","289","Missing","Missing"
"Hillingdon","Hillingdon (London borough)","E09000017","Missing","Missing","Missing","Missing","Missing","Missing"
"Hounslow","Hounslow (London borough)","E09000018","2,783","2,583","5,173","Missing","Missing","Missing"
"Islington","Islington (London borough)","E09000019","4,480","4,457","4,221","152","2,615","3,536"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","5,468","5,130","4,974","Missing","Missing","Missing"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","3,201","3,135","2,876","117","792","1,546"
"Lambeth","Lambeth (London borough)","E09000022","Missing","Missing","Missing","Missing","Missing","Missing"
"Lewisham","Lewisham (London borough)","E09000023","6,571","6,632","5,985","192","Missing","3,249"
"Merton","Merton (London borough)","E09000024","5,281","5,454","5,402","745","2,382","3,747"
"Newham","Newham (London borough)","E09000025","4,729","4,899","4,577","613","Missing","3,168"
"Redbridge","Redbridge (London borough)","E09000026","5,713","5,710","5,440","Missing","Missing","2,995"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","7,169","6,979","5,298","422","2,526","4,024"
"Southwark","Southwark (London borough)","E09000028","6,408","6,270","6,032","90","1,949","3,363"
"Sutton","Sutton (London borough)","E09000029","4,057","4,799","5,153","334","2,122","3,935"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","6,344","5,894","5,158","263","Missing","3,620"
"Waltham Forest","Waltham Forest (London borough)","E09000031","4,307","4,335","4,050","851","1,776","2,933"
"Wandsworth","Wandsworth (London borough)","E09000032","4,251","4,117","3,999","543","1,807","2,915"
"Westminster","Westminster (London borough)","E09000033","8,060","7,330","6,366","Missing","Missing","Missing"
